t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00196,696,52,644,0,5,696,696,696,696,696,696,696,696,696,696,696,696,0
9.00216,2329,203,2126,0,5,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,0
10.0024,2364,181,2183,0,5,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,0
11.0026,2355,254,2101,0,5,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,0
12.0028,2347,222,2125,0,5,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,0
13.003,2416,265,2151,0,5,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,0
14.0032,2277,233,2044,0,5,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,0
15.0034,2300,280,2020,0,5,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0
16.0035,2321,311,2010,0,5,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,0
17.0037,2303,285,2018,0,5,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,0
18.0039,2396,323,2073,0,5,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,0
19.0041,2231,269,1962,0,5,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,0
20.0043,2327,327,2000,0,5,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
21.0045,2391,337,2054,0,5,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,0
22.0047,2293,311,1982,0,5,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,0
23.0049,2333,344,1989,0,5,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,0
