t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0024,753,69,684,0,5,753,753,753,753,753,753,753,753,753,753,753,753,0
11.0026,2304,193,2111,0,5,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,0
12.0028,2282,234,2048,0,5,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,0
13.003,2329,212,2117,0,5,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,0
14.0032,2330,249,2081,0,5,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,0
15.0034,2319,248,2071,0,5,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,0
16.0037,2333,255,2078,0,5,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,0
17.0039,2314,284,2030,0,5,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,0
18.0041,2334,272,2062,0,5,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0
19.0043,2332,292,2040,0,5,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,0
20.0045,2317,286,2031,0,5,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,0
21.0047,2314,304,2010,0,5,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,0
22.0049,2328,289,2039,0,5,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,0
23.0051,2349,340,2009,0,5,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,0
24.0053,2338,340,1998,0,5,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,0
25.0055,2342,353,1989,0,5,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,0
26.0057,2296,415,1881,0,5,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,0
27.006,2346,390,1956,0,5,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,0
28.0062,2379,433,1946,0,5,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,0
29.0064,2367,405,1962,0,5,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,0
30.0065,2318,420,1898,0,5,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,0
31.0067,2276,429,1847,0,5,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,0
32.0069,2268,436,1832,0,5,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,0
33.0071,2365,457,1908,0,5,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,0
34.0073,2317,457,1860,0,5,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,2317,0
35.0075,2365,466,1899,0,5,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,0
36.0077,2388,460,1928,0,5,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,0
37.0079,2304,485,1819,0,5,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,0
38.0081,2326,482,1844,0,5,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,0
39.0083,2385,512,1873,0,5,2383,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,0
40.0085,2339,527,1812,0,5,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,0
41.0087,2307,549,1758,0,5,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,0
42.0089,2352,481,1871,0,5,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352,0
43.0091,2264,539,1725,0,5,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,0
44.0093,2279,520,1759,0,5,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,0
45.0095,2257,551,1706,0,5,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,0
46.0097,2335,555,1780,0,5,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,0
47.0098,2334,578,1756,0,5,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0
48.01,2350,585,1765,0,5,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
49.0102,2348,593,1755,0,5,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,0
50.0105,2349,589,1760,0,5,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,0
51.0107,2356,629,1727,0,5,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,0
52.0109,2278,630,1648,0,5,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,0
53.0112,2304,653,1651,0,5,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,0
54.0114,2296,681,1615,0,5,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,2296,0
55.0116,2278,658,1620,0,5,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,0
56.0118,2312,695,1617,0,5,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,0
57.012,2350,687,1663,0,5,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
58.0122,2344,671,1673,0,5,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,0
59.0124,2314,679,1635,0,5,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,0
60.0127,2240,695,1545,0,5,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,0
61.0128,2273,719,1554,0,5,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,0
62.0131,2254,686,1568,0,5,2254,2254,2254,2254,2254,2254,2254,2254,2254,2254,2254,2254,0
63.0134,2292,683,1609,0,5,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,0
64.0136,2367,754,1613,0,5,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,0
65.0138,2265,688,1577,0,5,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,0
66.0141,2313,720,1593,0,5,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,0
67.0143,2175,685,1490,0,5,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,0
68.0145,2276,721,1555,0,5,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,0
69.0147,2350,763,1587,0,5,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
70.0149,2309,793,1516,0,5,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,0
71.0152,2361,825,1536,0,5,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,0
72.0155,2320,801,1519,0,5,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,0
73.0157,2289,775,1514,0,5,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,0
74.0159,2338,838,1500,0,5,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,0
75.0161,2301,768,1533,0,5,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,0
76.0164,2328,787,1541,0,5,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,0
77.0166,2279,784,1495,0,5,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,0
78.0169,2327,809,1518,0,5,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
79.0171,2328,810,1518,0,5,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,0
80.0174,1358,516,842,0,5,1353,1353,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,0
81.0176,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
82.0178,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
83.0181,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
84.0184,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
85.0186,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
86.0189,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
87.0192,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
88.0194,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
89.0197,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
90.02,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
91.0202,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
92.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
