t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,q0,q1,q2,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_s0,active_s1,active_s2,waiting_s0,waiting_s1,waiting_s2,circuit_s0,circuit_s1,circuit_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00151,4492,378,4114,0,0,0,0,0,0,0,0.0549766,0.0549559,0.0552419,0.0547299,0,1,2,0,1,1,0,0,0,64,4470,4478,4491,4492,4492,4492,4492,4492,4492,4492,4492,4492,0
7.00168,6966,628,6338,0,0,0,0,0,0,1,0.0511265,0.05076,0.0506039,0.0519962,1,1,0,1,1,0,0,0,0,64,6961,6966,6966,6966,6966,6966,6966,6966,6966,6966,6966,6966,0
8.00189,6994,637,6357,0,0,0,0,0,0,0,0.0512878,0.0511812,0.051336,0.0513476,0,2,1,0,2,1,0,0,0,64,6986,6993,6994,6994,6994,6994,6994,6994,6994,6994,6994,6994,0
9.00209,6996,712,6284,0,0,0,0,0,0,0,0.0503388,0.0503353,0.0506869,0.0499985,1,0,1,0,0,1,0,0,0,64,6994,6996,6996,6996,6996,6996,6996,6996,6996,6996,6996,6996,0
10.0023,6974,685,6289,0,0,0,0,0,2,0,0.0502402,0.0503715,0.0503828,0.049968,0,0,1,0,0,0,0,0,0,64,6969,6974,6974,6974,6974,6974,6974,6974,6974,6974,6974,6974,0
11.0026,6981,753,6228,0,0,0,0,0,0,0,0.0510126,0.0508897,0.0508599,0.0512818,0,1,0,0,1,0,0,0,0,64,6976,6981,6981,6981,6981,6981,6981,6981,6981,6981,6981,6981,0
12.0027,6970,767,6203,0,0,0,0,0,0,0,0.0505586,0.0490054,0.0505613,0.052147,2,1,0,2,1,0,0,0,0,64,6964,6970,6970,6970,6970,6970,6970,6970,6970,6970,6970,6970,0
13.0029,6963,831,6132,0,0,0,0,0,0,0,0.0529978,0.052781,0.0551602,0.0510867,0,3,0,0,3,0,0,0,0,64,6942,6958,6963,6963,6963,6963,6963,6963,6963,6963,6963,6963,0
14.0031,6994,854,6140,0,0,0,0,0,0,0,0.0502484,0.0504377,0.0503767,0.0499303,0,0,3,0,0,2,0,0,0,64,6990,6993,6994,6994,6994,6994,6994,6994,6994,6994,6994,6994,0
15.0033,6993,906,6087,0,0,0,0,0,0,1,0.08538,0.0941917,0.0766406,0.0852694,0,2,0,0,2,0,0,0,0,64,6774,6934,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,0
16.0035,6948,907,6041,0,0,0,0,0,0,0,0.0502517,0.049972,0.0511451,0.0496475,1,1,0,1,1,0,0,0,0,64,6946,6948,6948,6948,6948,6948,6948,6948,6948,6948,6948,6948,0
17.0036,6806,909,5897,0,0,0,0,0,0,0,0.0663847,0.0656723,0.0655964,0.0679534,0,0,1,0,0,1,0,0,0,64,6735,6764,6802,6806,6806,6806,6806,6806,6806,6806,6806,6806,0
18.0038,7030,992,6038,0,0,0,0,0,0,0,0.0506502,0.0504219,0.0513277,0.050199,1,2,0,1,2,0,0,0,0,64,7028,7029,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,0
19.004,6956,978,5978,0,0,0,0,0,0,0,0.0497436,0.0494163,0.0497573,0.0500509,0,1,3,0,1,2,0,0,0,64,6953,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,0
20.0042,6985,951,6034,0,0,0,0,1,0,0,0.0500307,0.0489274,0.0503565,0.0508223,0,1,0,0,1,0,0,0,0,64,6981,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,0
21.0043,6977,1095,5882,0,0,0,0,0,0,0,0.0498633,0.0499772,0.0492996,0.0503091,1,0,1,1,0,1,0,0,0,64,6975,6977,6977,6977,6977,6977,6977,6977,6977,6977,6977,6977,0
22.0045,6890,1129,5761,0,0,0,0,1,0,0,0.0514577,0.0521221,0.0515353,0.0507235,0,0,4,0,0,3,0,0,0,64,6884,6890,6890,6890,6890,6890,6890,6890,6890,6890,6890,6890,0
23.0047,6978,1190,5788,0,0,0,0,1,0,0,0.051496,0.0509057,0.0524311,0.0511677,1,0,0,1,0,0,0,0,0,64,6969,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,0
24.0049,6978,1126,5852,0,0,0,0,0,0,1,0.0498944,0.0492143,0.0507726,0.0496414,0,0,0,0,0,0,0,0,0,64,6977,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,0
25.005,6983,1216,5767,0,0,0,0,0,0,0,0.0506849,0.0509165,0.050614,0.0505335,2,0,3,2,0,2,0,0,0,64,6982,6983,6983,6983,6983,6983,6983,6983,6983,6983,6983,6983,0
26.0052,6948,1228,5720,0,0,0,0,0,0,0,0.0504332,0.0510785,0.0485777,0.0516632,2,0,0,2,0,0,0,0,0,64,6948,6948,6948,6948,6948,6948,6948,6948,6948,6948,6948,6948,0
27.0054,6946,1276,5670,0,0,0,0,0,0,0,0.0508857,0.0505601,0.0507698,0.0513232,0,1,0,0,1,0,0,0,0,64,6938,6946,6946,6946,6946,6946,6946,6946,6946,6946,6946,6946,0
28.0056,6987,1366,5621,0,0,0,0,0,0,0,0.0517124,0.051062,0.0517798,0.0523041,0,0,0,0,0,0,0,0,0,64,6980,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,6987,0
29.0058,6999,1365,5634,0,0,0,0,0,0,0,0.049635,0.0491235,0.0492505,0.0505004,1,0,2,1,0,1,0,0,0,64,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,0
30.006,6982,1329,5653,0,0,0,0,1,0,0,0.0513596,0.0504219,0.0522111,0.0514506,0,0,0,0,0,0,0,0,0,64,6981,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,6982,0
31.0061,6913,1431,5482,0,0,0,0,0,0,0,0.0502891,0.0506209,0.0502782,0.0499682,2,2,0,1,2,0,0,0,0,64,6913,6913,6913,6913,6913,6913,6913,6913,6913,6913,6913,6913,0
32.0063,7019,1386,5633,0,0,0,0,0,0,0,0.0506636,0.0496164,0.0503931,0.0519799,0,0,2,0,0,2,0,0,0,64,7010,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,0
33.0066,7030,1458,5572,0,0,0,0,1,0,1,0.0499526,0.0498551,0.0505002,0.0495155,0,1,1,1,1,1,0,0,0,64,7028,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,0
34.0069,6992,1492,5500,0,0,0,0,0,1,0,0.0507481,0.0512727,0.050326,0.0506587,0,1,2,0,1,2,0,0,0,64,6990,6992,6992,6992,6992,6992,6992,6992,6992,6992,6992,6992,0
35.0071,7027,1510,5517,0,0,0,0,0,0,0,0.0503004,0.0501018,0.0502903,0.0505068,0,1,0,0,1,0,0,0,0,64,7023,7026,7027,7027,7027,7027,7027,7027,7027,7027,7027,7027,0
36.0074,6947,1559,5388,0,0,0,0,0,0,0,0.0504787,0.0504396,0.0504309,0.0505644,1,0,0,1,0,0,0,0,0,64,6938,6947,6947,6947,6947,6947,6947,6947,6947,6947,6947,6947,0
37.0077,6966,1536,5430,0,0,0,0,0,0,0,0.0507268,0.0501765,0.051104,0.0508862,1,1,0,1,1,0,0,0,0,64,6961,6966,6966,6966,6966,6966,6966,6966,6966,6966,6966,6966,0
38.008,7017,1592,5425,0,0,0,0,1,0,0,0.0517018,0.0517877,0.0525571,0.0507549,1,0,1,1,0,1,0,0,0,64,7003,7015,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,0
39.0082,6691,1550,5141,0,0,0,0,0,0,0,0.0521801,0.0527736,0.0523352,0.0514329,1,0,1,0,0,1,0,0,0,64,6669,6682,6691,6691,6691,6691,6691,6691,6691,6691,6691,6691,0
