t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.003,1200,113,1087,0,5,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0
13.0032,2293,201,2092,0,5,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,0
14.0034,2333,206,2127,0,5,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,2333,0
15.0036,2311,238,2073,0,5,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,0
16.0037,2264,229,2035,0,5,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,0
17.0039,2316,225,2091,0,5,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,0
18.0041,2347,249,2098,0,5,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,0
19.0043,2335,250,2085,0,5,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,0
20.0045,2342,297,2045,0,5,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,0
21.0047,2334,309,2025,0,5,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0
22.0049,2282,307,1975,0,5,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,0
23.005,2343,344,1999,0,5,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,0
24.0052,2224,315,1909,0,5,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,0
25.0055,2256,319,1937,0,5,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,0
