t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0042,235,19,216,0,0,0,0,0,0.0700375,0.0749178,0.0704211,0.0639928,3,1,1,1,26,192,221,235,235,235,235,235,235,235,235,235,235,0
17.0044,6609,560,6049,0,0,0,0,0,0.0505557,0.0518715,0.0496733,0.0501247,3,0,1,1,64,6600,6609,6609,6609,6609,6609,6609,6609,6609,6609,6609,6609,0
18.0046,7067,621,6446,0,0,0,0,0,0.0477236,0.0481068,0.0476095,0.0474638,3,1,0,2,64,7065,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,0
19.0047,7158,689,6469,0,0,0,0,0,0.0483539,0.048222,0.0481335,0.0486981,2,1,1,0,64,7154,7158,7158,7158,7158,7158,7158,7158,7158,7158,7158,7158,0
20.0049,7086,731,6355,0,0,0,0,0,0.0497185,0.0506535,0.0484146,0.0501048,2,1,1,0,64,7066,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,0
21.0051,7157,729,6428,0,0,0,0,1,0.0476832,0.0474477,0.0478252,0.0477691,1,0,1,0,64,7155,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,0
22.0052,7132,755,6377,0,0,0,0,0,0.0473295,0.0473225,0.0472695,0.0473948,3,1,1,1,64,7131,7132,7132,7132,7132,7132,7132,7132,7132,7132,7132,7132,0
23.0054,7143,823,6320,0,0,0,0,0,0.047021,0.0467568,0.0473185,0.0469894,3,1,1,1,64,7140,7142,7143,7143,7143,7143,7143,7143,7143,7143,7143,7143,0
24.0056,7156,874,6282,0,0,0,0,0,0.0476009,0.0476676,0.0478236,0.0473132,2,2,0,0,64,7153,7156,7156,7156,7156,7156,7156,7156,7156,7156,7156,7156,0
25.0057,7102,905,6197,0,0,0,0,0,0.0478999,0.048292,0.0476844,0.047701,3,0,2,1,64,7095,7101,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,0
26.0059,7095,910,6185,0,0,0,0,0,0.0478167,0.048235,0.0477456,0.0475035,3,1,2,0,64,7095,7095,7095,7095,7095,7095,7095,7095,7095,7095,7095,7095,0
27.0061,7097,945,6152,0,0,0,0,0,0.0469062,0.0471317,0.0467501,0.0468347,3,0,0,3,64,7096,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,0
28.0062,6949,963,5986,0,0,0,0,0,0.0517276,0.0492323,0.0525768,0.0533468,1,1,0,0,64,6899,6916,6946,6949,6949,6949,6949,6949,6949,6949,6949,6949,0
29.0064,7109,1005,6104,0,0,0,0,1,0.0476687,0.0478297,0.0477479,0.0474364,0,0,0,0,64,7099,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,0
30.0066,7091,963,6128,0,0,0,0,0,0.0482081,0.0475823,0.0476269,0.049434,3,1,1,1,64,7086,7091,7091,7091,7091,7091,7091,7091,7091,7091,7091,7091,0
31.0067,7156,1087,6069,0,0,0,0,0,0.0475532,0.0473785,0.0475877,0.047688,2,1,1,0,64,7155,7156,7156,7156,7156,7156,7156,7156,7156,7156,7156,7156,0
32.0069,7058,1102,5956,0,0,0,0,0,0.0474638,0.0483656,0.0469554,0.0471067,2,0,1,1,64,7056,7058,7058,7058,7058,7058,7058,7058,7058,7058,7058,7058,0
33.0071,7104,1214,5890,0,0,0,0,0,0.047379,0.0473698,0.0473031,0.0474607,5,1,3,0,64,7104,7104,7104,7104,7104,7104,7104,7104,7104,7104,7104,7104,0
34.0073,7091,1175,5916,0,0,0,0,0,0.0481905,0.0481154,0.048509,0.0479329,3,1,2,0,64,7088,7091,7091,7091,7091,7091,7091,7091,7091,7091,7091,7091,0
35.0075,7060,1151,5909,0,0,0,0,0,0.0505234,0.0513884,0.0491565,0.0511129,3,1,1,0,64,7034,7058,7060,7060,7060,7060,7060,7060,7060,7060,7060,7060,0
36.0076,7083,1312,5771,0,0,0,0,0,0.0483491,0.0484224,0.0486005,0.0480329,3,1,1,1,64,7083,7083,7083,7083,7083,7083,7083,7083,7083,7083,7083,7083,0
37.0078,7076,1252,5824,0,0,0,0,0,0.0483665,0.0489608,0.0479119,0.0482039,1,0,1,0,64,7075,7076,7076,7076,7076,7076,7076,7076,7076,7076,7076,7076,0
38.008,7130,1370,5760,0,0,0,0,0,0.0474428,0.0472339,0.0478183,0.0472816,1,0,0,1,64,7129,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,7130,0
39.0082,7081,1410,5671,0,0,0,0,0,0.0483296,0.0485629,0.0475293,0.0488899,2,0,1,1,64,7076,7081,7081,7081,7081,7081,7081,7081,7081,7081,7081,7081,0
40.0084,7065,1312,5753,0,0,0,0,0,0.056752,0.0539967,0.0597311,0.0564991,2,0,1,1,64,7014,7053,7065,7065,7065,7065,7065,7065,7065,7065,7065,7065,0
41.0089,7125,1451,5674,0,0,0,0,0,0.0472628,0.0476263,0.0475105,0.0466421,2,1,1,0,64,7124,7125,7125,7125,7125,7125,7125,7125,7125,7125,7125,7125,0
42.0092,7093,1427,5666,0,0,0,0,0,0.0481508,0.0483095,0.0483017,0.0478281,3,1,1,0,64,7091,7093,7093,7093,7093,7093,7093,7093,7093,7093,7093,7093,0
43.0094,7097,1470,5627,0,0,0,0,0,0.0481078,0.0487635,0.0477283,0.0478446,3,0,2,1,64,7089,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,0
44.0096,7109,1485,5624,0,0,0,0,1,0.0475085,0.0479944,0.0472969,0.0472436,1,1,1,0,64,7107,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,7109,0
