t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0031,753,58,695,0,16,753,753,753,753,753,753,753,753,753,753,753,753,0
13.0033,2334,196,2138,0,16,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0
14.0036,2355,181,2174,0,16,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,0
15.0039,2376,260,2116,0,16,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,0
16.0041,2363,228,2135,0,16,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0
17.0043,2372,258,2114,0,16,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,0
18.0045,2326,241,2085,0,16,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,0
19.0047,2341,292,2049,0,16,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,0
20.005,2307,294,2013,0,16,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,0
21.0052,2367,297,2070,0,16,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,0
22.0054,2335,306,2029,0,16,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,0
23.0057,2327,291,2036,0,16,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
24.0059,2341,344,1997,0,16,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,0
25.0061,2365,323,2042,0,16,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,0
26.0064,2330,314,2016,0,16,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,0
27.0066,2360,364,1996,0,16,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,0
28.0068,2368,376,1992,0,16,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,0
29.0071,2353,395,1958,0,16,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,0
30.0074,2267,376,1891,0,16,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
31.0076,2378,389,1989,0,16,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,0
