t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.006,1421,119,1302,0,16,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,0
25.0062,2363,223,2140,0,16,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0
26.0064,2303,218,2085,0,16,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,0
27.0066,2355,241,2114,0,16,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,0
28.0068,2401,243,2158,0,16,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,0
29.007,2315,262,2053,0,16,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,2315,0
30.0072,2350,255,2095,0,16,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
31.0074,2370,297,2073,0,16,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,0
32.0076,2304,270,2034,0,16,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,0
33.0078,2385,291,2094,0,16,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,0
34.008,2309,292,2017,0,16,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309,0
35.0082,2312,301,2011,0,16,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,0
36.0084,2371,325,2046,0,16,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,0
37.0086,2364,325,2039,0,16,2363,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,0
38.0088,2330,331,1999,0,16,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,0
39.009,2414,424,1990,0,16,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,0
40.0092,2339,372,1967,0,16,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,0
41.0094,2316,425,1891,0,16,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316,0
42.0096,2449,415,2034,0,16,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,0
43.0098,2414,465,1949,0,16,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,0
44.01,2342,402,1940,0,16,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342,0
45.0102,2295,431,1864,0,16,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,0
46.0104,2335,479,1856,0,16,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,0
47.0106,2399,445,1954,0,16,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,0
48.0108,2356,450,1906,0,16,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,0
49.011,2415,474,1941,0,16,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,0
50.0112,2348,483,1865,0,16,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,0
51.0114,2341,481,1860,0,16,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,0
52.0116,2368,510,1858,0,16,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,2368,0
53.0118,2413,531,1882,0,16,2410,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,0
54.012,2256,528,1728,0,16,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,0
55.0122,2415,528,1887,0,16,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,0
56.0124,1194,261,933,0,16,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,0
57.0128,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
58.013,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
59.0133,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0136,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
61.0138,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
62.014,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
63.0143,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
64.0146,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
65.0148,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
66.015,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
67.0153,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
68.0156,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
69.0158,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
70.016,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
71.0163,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
72.0165,1420,323,1097,0,16,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,0
73.0167,2148,497,1651,0,16,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148,0
74.0169,2348,561,1787,0,16,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,0
75.0171,2362,555,1807,0,16,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,0
76.0173,2398,609,1789,0,16,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,0
77.0175,2335,592,1743,0,16,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,2335,0
78.0177,2423,580,1843,0,16,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,0
79.0179,2326,604,1722,0,16,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,0
80.0181,2443,629,1814,0,16,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,0
81.0183,2339,631,1708,0,16,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,0
82.0185,2276,668,1608,0,16,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,0
83.0187,2347,690,1657,0,16,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,0
84.0189,2353,675,1678,0,16,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,0
85.0191,2267,670,1597,0,16,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
86.0193,2445,703,1742,0,16,2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,0
87.0195,2356,695,1661,0,16,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,0
