t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0052,1416,106,1310,0,16,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,0
22.0054,2367,214,2153,0,16,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,0
23.0055,2408,205,2203,0,16,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,0
24.0057,2361,249,2112,0,16,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,0
25.0059,2375,218,2157,0,16,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,0
26.0061,2411,264,2147,0,16,2411,2411,2411,2411,2411,2411,2411,2411,2411,2411,2411,2411,0
27.0064,2289,276,2013,0,16,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,0
28.0066,2347,291,2056,0,16,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,0
29.0068,2344,275,2069,0,16,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344,0
30.007,2324,307,2017,0,16,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,0
31.0072,2382,310,2072,0,16,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,0
32.0074,2281,292,1989,0,16,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,0
33.0075,2386,355,2031,0,16,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,0
34.0077,2366,311,2055,0,16,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,0
35.008,2330,326,2004,0,16,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330,0
36.0082,2374,375,1999,0,16,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,0
37.0084,2380,388,1992,0,16,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,0
38.0085,2361,397,1964,0,16,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,0
39.0087,2303,370,1933,0,16,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,0
40.009,2389,416,1973,0,16,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,0
41.0091,2457,466,1991,0,16,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457,0
42.0093,2347,431,1916,0,16,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,0
43.0095,2340,454,1886,0,16,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,0
44.0097,2391,430,1961,0,16,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,0
45.0099,2346,446,1900,0,16,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,0
46.0101,2340,463,1877,0,16,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,0
47.0103,2376,474,1902,0,16,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,2376,0
48.0105,2388,494,1894,0,16,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,0
49.0107,2329,502,1827,0,16,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,0
50.0109,2394,500,1894,0,16,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,0
51.011,2279,498,1781,0,16,2277,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,0
52.0112,2363,533,1830,0,16,2362,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0
68.4361,1203,308,895,0,16,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,0
69.4362,2257,508,1749,0,16,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,0
70.4365,2371,558,1813,0,16,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,0
71.4367,2393,595,1798,0,16,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,0
72.4369,2345,576,1769,0,16,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,0
73.4371,2319,560,1759,0,16,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,0
74.4373,2285,589,1696,0,16,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,0
75.4375,2327,608,1719,0,16,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
76.4377,2331,574,1757,0,16,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,0
77.4379,2326,583,1743,0,16,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,2326,0
78.4381,2292,561,1731,0,16,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,2292,0
79.4383,2360,668,1692,0,16,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,0
80.4385,2416,646,1770,0,16,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,0
81.4387,2334,625,1709,0,16,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0
82.4389,2350,633,1717,0,16,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
83.4391,2290,676,1614,0,16,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,0
84.4393,2350,651,1699,0,16,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
85.4395,2363,717,1646,0,16,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0
86.4397,2403,725,1678,0,16,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,0
87.4398,2389,753,1636,0,16,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,0
88.44,2420,669,1751,0,16,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,0
89.4402,2261,709,1552,0,16,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,0
90.4404,1997,639,1358,0,16,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,0
91.4407,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
92.4409,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
93.4412,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
94.4414,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
95.4416,1,1,0,0,16,1,1,1,1,1,1,1,1,1,1,1,1,0
96.4418,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
97.4421,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
98.4424,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
99.4426,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
100.443,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
101.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
