t_rel_s,lat_ms,status,shard,op
0.0851940680295229,9.234183002263308,NOT_FOUND,2,GET
0.09095298987813294,5.730273900553584,NOT_FOUND,1,GET
0.10550902504473925,14.527572086080909,OK,1,PUT
0.11191207100637257,6.376805016770959,NOT_FOUND,0,GET
0.11929795797914267,7.361850934103131,NOT_FOUND,2,GET
0.12401633500121534,4.695784999057651,NOT_FOUND,1,GET
0.13710332987830043,13.064754894003272,NOT_FOUND,0,GET
0.14855348994024098,11.42775290645659,NOT_FOUND,2,GET
0.15438202186487615,5.764513975009322,NOT_FOUND,2,GET
0.15824744594283402,3.837387077510357,NOT_FOUND,1,GET
0.16020507388748229,1.9350359216332436,NOT_FOUND,2,GET
0.16964553203433752,9.417625144124031,NOT_FOUND,1,GET
0.1790105840191245,9.328497108072042,NOT_FOUND,1,GET
0.18399847694672644,4.96563408523798,NOT_FOUND,0,GET
0.19369811797514558,9.677326073870063,NOT_FOUND,1,GET
0.22647802089340985,32.75612602010369,NOT_FOUND,1,GET
0.23505602590739727,8.55448585934937,NOT_FOUND,0,GET
0.2509438619017601,15.864169923588634,NOT_FOUND,1,GET
0.26114936801604927,10.182802099734545,NOT_FOUND,0,GET
0.2665558869484812,5.385797005146742,NOT_FOUND,1,GET
0.2750985948368907,8.497689850628376,NOT_FOUND,0,GET
0.28851180896162987,13.388659106567502,NOT_FOUND,0,GET
0.29793915594927967,9.399995906278491,OK,0,PUT
0.30735889286734164,9.397514862939715,NOT_FOUND,1,GET
0.3192285669501871,11.844062944874167,NOT_FOUND,1,GET
0.328337435843423,9.085054975003004,NOT_FOUND,0,GET
0.3327490568626672,4.385028965771198,NOT_FOUND,1,GET
0.3460395869333297,13.26595596037805,NOT_FOUND,1,GET
0.35938978288322687,13.328102882951498,NOT_FOUND,1,GET
0.3692583478987217,9.843638865277171,NOT_FOUND,1,GET
0.38107115286402404,11.786100920289755,NOT_FOUND,1,GET
0.39281606883741915,11.720990994945168,NOT_FOUND,2,GET
0.39923044689930975,6.393488962203264,NOT_FOUND,2,GET
0.40416748891584575,4.911948926746845,NOT_FOUND,2,GET
0.41725174291059375,13.059994904324412,NOT_FOUND,2,GET
0.4380080478731543,20.733027020469308,NOT_FOUND,2,GET
0.44524365896359086,7.213481003418565,NOT_FOUND,1,GET
0.45373246097005904,8.466023951768875,NOT_FOUND,0,GET
0.4583097838331014,4.553434904664755,NOT_FOUND,2,GET
0.4658345398493111,7.503126980736852,NOT_FOUND,0,GET
0.4748575580306351,8.989259134978056,NOT_FOUND,2,GET
0.49080100492574275,15.9187619574368,NOT_FOUND,2,GET
0.49839159403927624,7.5653300154954195,NOT_FOUND,1,GET
0.5031316368840635,4.71615488640964,NOT_FOUND,2,GET
0.5091554829850793,5.980215966701508,NOT_FOUND,0,GET
0.5312376448418945,22.04471779987216,NOT_FOUND,1,GET
0.5338004699442536,2.540325978770852,NOT_FOUND,0,GET
0.5543615729548037,20.539862103760242,NOT_FOUND,0,GET
0.5570471750106663,2.659454010426998,OK,0,PUT
0.5699041169136763,12.83421996049583,NOT_FOUND,0,GET
0.5865783339831978,16.649217111989856,NOT_FOUND,2,GET
0.6046111669857055,18.01036996766925,NOT_FOUND,0,GET
0.6138016839977354,9.166090982034802,NOT_FOUND,1,GET
0.6257166909053922,11.887877946719527,NOT_FOUND,0,GET
0.6373195899650455,11.571899056434631,NOT_FOUND,1,GET
0.6639205568935722,26.578855933621526,NOT_FOUND,1,GET
0.6751049598678946,11.153976898640394,OK,0,PUT
0.6800647978670895,4.934670869261026,NOT_FOUND,2,GET
0.6903986919205636,10.29945001937449,NOT_FOUND,2,GET
0.6991917870473117,8.769725216552615,NOT_FOUND,1,GET
0.7035356119740754,4.323380999267101,NOT_FOUND,1,GET
0.7079116229433566,4.3536589946597815,NOT_FOUND,1,GET
0.7273459408897907,19.379058852791786,NOT_FOUND,2,GET
0.7340400759130716,6.671468028798699,NOT_FOUND,2,GET
0.7478133598342538,13.75183998607099,NOT_FOUND,2,GET
0.7565515669994056,8.67855898104608,NOT_FOUND,1,GET
0.7632973860017955,6.655098171904683,NOT_FOUND,0,GET
0.7703257580287755,7.003409089520574,NOT_FOUND,2,GET
0.7732665429357439,2.919080900028348,NOT_FOUND,1,GET
0.7969446699135005,23.656849982216954,NOT_FOUND,1,GET
0.8054210080299526,8.454413153231144,NOT_FOUND,2,GET
0.818518762011081,13.073421083390713,NOT_FOUND,0,GET
0.8192493480164558,0.7085120305418968,NOT_FOUND,1,GET
0.8320579188875854,12.784034945070744,NOT_FOUND,1,GET
0.8326635060366243,0.5826980341225863,NOT_FOUND,0,GET
0.8392634559422731,6.577858002856374,NOT_FOUND,2,GET
0.856373077025637,17.08621298894286,NOT_FOUND,1,GET
0.8630964329931885,6.691653048619628,NOT_FOUND,2,GET
0.8727527039591223,9.631325956434011,OK,1,PUT
0.8806738080456853,7.895567221567035,NOT_FOUND,0,GET
0.8893196450080723,8.624615147709846,NOT_FOUND,0,GET
0.9007728600408882,11.428734054788947,NOT_FOUND,2,GET
0.9119453008752316,11.149459052830935,NOT_FOUND,1,GET
0.9191095239948481,7.137964013963938,NOT_FOUND,0,GET
0.9247645949944854,5.631183041259646,NOT_FOUND,0,GET
0.9332977109588683,8.505671983584762,NOT_FOUND,2,GET
0.9375210190191865,4.203364020213485,NOT_FOUND,0,GET
0.9524601059965789,14.919660985469818,NOT_FOUND,2,GET
0.9614200878422707,8.936482015997171,NOT_FOUND,1,GET
0.9747996910009533,13.357696123421192,NOT_FOUND,0,GET
0.9772962029092014,2.4746048729866743,NOT_FOUND,2,GET
0.981454751919955,4.135549999773502,NOT_FOUND,0,GET
0.9881991089787334,6.720727076753974,NOT_FOUND,2,GET
0.9929666710086167,4.722729092463851,NOT_FOUND,0,GET
1.00202178186737,9.003907907754183,NOT_FOUND,0,GET
1.0065562350209802,4.511713050305843,NOT_FOUND,1,GET
1.0290662068873644,22.46939786709845,NOT_FOUND,2,GET
1.0313883130438626,2.298829145729542,NOT_FOUND,0,GET
1.0447460459545255,13.332159956917167,NOT_FOUND,2,GET
1.054179762955755,9.405903052538633,OK,1,PUT
1.0655284239910543,11.32505014538765,NOT_FOUND,0,GET
1.068427245831117,2.8760808054357767,NOT_FOUND,2,GET
1.0931364179123193,24.68609786592424,NOT_FOUND,0,GET
1.115580630954355,22.36536191776395,NOT_FOUND,1,GET
1.129140806850046,13.53399083018303,NOT_FOUND,0,GET
1.1378427359741181,8.67920694872737,NOT_FOUND,0,GET
