t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.004,729,57,672,0,0,0,0,1,0.0634014,0.062023,0.0625675,0.0656842,3,2,0,1,46,679,720,729,729,729,729,729,729,729,729,729,729,0
17.0041,6770,592,6178,0,0,0,0,0,0.0508735,0.050685,0.0512472,0.0506901,2,0,1,1,64,6762,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,0
18.0043,7045,608,6437,0,0,0,0,0,0.0478842,0.0474701,0.0477984,0.0483723,2,0,1,1,64,7043,7045,7045,7045,7045,7045,7045,7045,7045,7045,7045,7045,0
19.0045,7094,680,6414,0,0,0,0,0,0.0479222,0.0477025,0.0478242,0.0482415,3,1,2,0,64,7092,7094,7094,7094,7094,7094,7094,7094,7094,7094,7094,7094,0
20.0046,7030,733,6297,0,0,0,0,0,0.0477098,0.0483163,0.0471466,0.0476739,1,1,0,0,64,7023,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,0
21.0048,7066,742,6324,0,0,0,0,1,0.0462914,0.0462179,0.0460746,0.0465822,3,1,1,1,64,7063,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,0
22.0051,7050,721,6329,0,0,0,0,0,0.0480166,0.0478069,0.0487994,0.0474572,4,2,2,0,64,7047,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,7050,0
23.0053,7048,827,6221,0,0,0,0,0,0.0479469,0.0474209,0.0480292,0.0483994,0,0,0,0,64,7044,7048,7048,7048,7048,7048,7048,7048,7048,7048,7048,7048,0
24.0055,7055,869,6186,0,0,0,0,0,0.050219,0.0510288,0.0505243,0.0491065,3,2,1,0,64,7032,7050,7055,7055,7055,7055,7055,7055,7055,7055,7055,7055,0
25.0058,7039,900,6139,0,0,0,0,0,0.0473957,0.047455,0.0477373,0.0469931,2,1,0,1,64,7033,7039,7039,7039,7039,7039,7039,7039,7039,7039,7039,7039,0
26.006,7046,906,6140,0,0,0,0,0,0.0474698,0.0475115,0.047675,0.0472359,4,1,2,1,64,7043,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,0
27.0062,7014,919,6095,0,0,0,0,0,0.047148,0.0467039,0.0474566,0.0472769,1,0,1,0,64,7013,7014,7014,7014,7014,7014,7014,7014,7014,7014,7014,7014,0
28.0063,6882,933,5949,0,0,0,0,0,0.0600715,0.0585237,0.0596188,0.0620325,1,0,0,1,64,6828,6859,6879,6882,6882,6882,6882,6882,6882,6882,6882,6882,0
29.0065,7016,999,6017,0,0,0,0,0,0.0476912,0.047479,0.0475141,0.048071,1,0,1,0,64,7010,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,7016,0
30.0068,7043,959,6084,0,0,0,0,0,0.0496468,0.0481427,0.0490263,0.0518133,3,1,0,2,64,7022,7039,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,0
31.007,7023,1059,5964,0,0,0,0,0,0.0474797,0.0477937,0.0473434,0.0473073,4,0,3,0,64,7021,7023,7023,7023,7023,7023,7023,7023,7023,7023,7023,7023,0
32.0072,7054,1124,5930,0,0,0,0,0,0.0489583,0.0489513,0.0493521,0.0485713,3,0,1,1,64,7050,7054,7054,7054,7054,7054,7054,7054,7054,7054,7054,7054,0
33.0074,7010,1174,5836,0,0,0,0,0,0.0481577,0.0489574,0.0475496,0.0479598,1,0,1,0,64,7009,7010,7010,7010,7010,7010,7010,7010,7010,7010,7010,7010,0
34.0075,7102,1164,5938,0,0,0,0,0,0.0479957,0.0479201,0.0477497,0.0483398,1,0,0,1,64,7094,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,7102,0
