t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,210,16,194,0,16,210,210,210,210,210,210,210,210,210,210,210,210,0
11.0027,2305,195,2110,0,16,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,0
12.0029,2349,228,2121,0,16,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,0
13.0031,2374,219,2155,0,16,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,0
14.0032,2374,262,2112,0,16,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,2374,0
15.0034,2415,261,2154,0,16,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,0
16.0036,2401,250,2151,0,16,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,0
17.0038,2406,295,2111,0,16,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,0
18.004,2373,276,2097,0,16,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,0
19.0043,2383,306,2077,0,16,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,0
20.0045,2375,277,2098,0,16,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,0
21.0047,2439,329,2110,0,16,2439,2439,2439,2439,2439,2439,2439,2439,2439,2439,2439,2439,0
22.0049,2346,311,2035,0,16,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,0
23.0051,2415,335,2080,0,16,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,0
24.0053,2397,344,2053,0,16,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,0
25.0055,2463,389,2074,0,16,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,0
26.0057,2396,396,2000,0,16,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,0
27.006,2362,432,1930,0,16,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,0
28.0062,2457,415,2042,0,16,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457,0
29.0065,2449,444,2005,0,16,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,0
30.0067,2379,433,1946,0,16,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,0
31.0069,2337,430,1907,0,16,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337,0
32.0071,2401,485,1916,0,16,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,0
33.0073,2389,448,1941,0,16,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,2389,0
34.0075,2412,464,1948,0,16,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,0
35.0078,2432,489,1943,0,16,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,0
36.0081,2431,482,1949,0,16,2431,2431,2431,2431,2431,2431,2431,2431,2431,2431,2431,2431,0
37.0083,2289,467,1822,0,16,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,0
38.0085,2414,534,1880,0,16,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,0
