t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0021,174,14,160,0,16,174,174,174,174,174,174,174,174,174,174,174,174,0
9.00227,2307,199,2108,0,16,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307,0
10.0025,2415,183,2232,0,16,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,0
11.0026,2418,248,2170,0,16,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,0
12.0028,2398,237,2161,0,16,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,0
13.003,2445,258,2187,0,16,2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,2445,0
14.0032,2384,239,2145,0,16,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,0
15.0034,2394,303,2091,0,16,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,0
16.0036,2373,301,2072,0,16,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,2373,0
17.0038,2365,292,2073,0,16,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,0
18.004,2471,329,2142,0,16,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471,0
19.0042,2370,314,2056,0,16,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,0
20.0044,2355,332,2023,0,16,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,0
21.0047,2409,317,2092,0,16,2409,2409,2409,2409,2409,2409,2409,2409,2409,2409,2409,2409,0
22.0048,2415,332,2083,0,16,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,0
23.005,2363,360,2003,0,16,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0
24.0052,2413,379,2034,0,16,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,0
25.0054,2436,430,2006,0,16,2436,2436,2436,2436,2436,2436,2436,2436,2436,2436,2436,2436,0
26.0056,2327,361,1966,0,16,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
27.0058,2449,433,2016,0,16,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,0
