t_s,req_s,ok,not_found,timeout,overloaded,backend_unavailable,other,queue_len,avg_queue_wait_ms,avg_qwait_s0_ms,avg_qwait_s1_ms,avg_qwait_s2_ms,active_workers,waiting_s0,waiting_s1,waiting_s2,open_clients,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0096,5483,458,5025,0,0,0,0,0,0.0570644,0.0560391,0.0560706,0.059135,4,1,1,2,64,5397,5457,5483,5483,5483,5483,5483,5483,5483,5483,5483,5483,0
37.0101,7086,640,6446,0,0,0,0,0,0.0479207,0.0476674,0.0479169,0.0481685,1,0,0,1,64,7078,7083,7086,7086,7086,7086,7086,7086,7086,7086,7086,7086,0
38.0103,7033,652,6381,0,0,0,0,1,0.0487977,0.0495106,0.0487382,0.048155,1,0,1,0,64,7019,7033,7033,7033,7033,7033,7033,7033,7033,7033,7033,7033,0
39.0105,7009,722,6287,0,0,0,0,0,0.0480355,0.0477757,0.0484784,0.0478623,1,1,0,0,64,7003,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,0
40.0108,7079,703,6376,0,0,0,0,0,0.0480776,0.049054,0.047849,0.0473566,2,0,0,1,64,7078,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,0
41.0109,7004,745,6259,0,0,0,0,0,0.0483931,0.0481758,0.0483239,0.0486716,4,3,0,1,64,7001,7004,7004,7004,7004,7004,7004,7004,7004,7004,7004,7004,0
42.0111,7041,796,6245,0,0,0,0,1,0.0484565,0.0485333,0.0480152,0.0488241,2,0,1,1,64,7035,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,7041,0
43.0113,7063,845,6218,0,0,0,0,1,0.0476528,0.0470458,0.0475361,0.0483676,3,1,1,1,64,7062,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,7063,0
44.0115,7087,885,6202,0,0,0,0,1,0.0477735,0.0467808,0.0488686,0.0477264,1,1,0,0,64,7085,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,7087,0
45.0117,7079,908,6171,0,0,0,0,2,0.0478258,0.0481617,0.0471721,0.0481478,1,2,0,0,64,7072,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,7079,0
46.0119,6998,930,6068,0,0,0,0,0,0.0477765,0.0471659,0.0478607,0.0483153,3,1,0,2,64,6997,6998,6998,6998,6998,6998,6998,6998,6998,6998,6998,6998,0
47.012,6881,916,5965,0,0,0,0,0,0.051696,0.0523627,0.0536979,0.0489929,1,0,1,0,64,6835,6865,6881,6881,6881,6881,6881,6881,6881,6881,6881,6881,0
48.0122,7019,1014,6005,0,0,0,0,0,0.0485215,0.0482973,0.0488201,0.0484298,2,1,0,0,64,7013,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,0
49.0124,7084,979,6105,0,0,0,0,0,0.048661,0.049414,0.0485697,0.0480144,3,2,0,1,64,7062,7084,7084,7084,7084,7084,7084,7084,7084,7084,7084,7084,0
50.0126,7083,1021,6062,0,0,0,0,1,0.0496791,0.0498505,0.0495074,0.0496812,3,0,1,2,64,7063,7082,7083,7083,7083,7083,7083,7083,7083,7083,7083,7083,0
51.0127,7032,1113,5919,0,0,0,0,0,0.0503047,0.0490506,0.0513616,0.0504759,1,0,0,1,64,7015,7027,7032,7032,7032,7032,7032,7032,7032,7032,7032,7032,0
52.0129,7070,1130,5940,0,0,0,0,0,0.0474443,0.0473385,0.047221,0.047767,1,0,1,0,64,7068,7070,7070,7070,7070,7070,7070,7070,7070,7070,7070,7070,0
53.0131,7030,1235,5795,0,0,0,0,0,0.0478776,0.0482806,0.0478994,0.0474526,2,0,1,1,64,7027,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,0
54.0134,7080,1125,5955,0,0,0,0,0,0.0477213,0.0472448,0.0472544,0.0486857,3,0,1,2,64,7066,7079,7080,7080,7080,7080,7080,7080,7080,7080,7080,7080,0
55.0136,7030,1272,5758,0,0,0,0,0,0.0471358,0.0470414,0.0469909,0.0473681,2,0,1,1,64,7029,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,7030,0
56.0138,7097,1267,5830,0,0,0,0,1,0.0481615,0.048046,0.048584,0.0478654,2,1,1,0,64,7093,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,7097,0
57.0141,7074,1315,5759,0,0,0,0,0,0.04717,0.0467896,0.0476542,0.0470822,3,0,2,1,64,7068,7074,7074,7074,7074,7074,7074,7074,7074,7074,7074,7074,0
58.0143,7031,1402,5629,0,0,0,0,1,0.0481286,0.0475483,0.048077,0.0487689,2,1,1,0,64,7030,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,0
59.0145,7056,1316,5740,0,0,0,0,0,0.0486032,0.0493694,0.0485855,0.0478968,2,0,0,2,64,7046,7056,7056,7056,7056,7056,7056,7056,7056,7056,7056,7056,0
60.0147,7069,1402,5667,0,0,0,0,0,0.047688,0.0470423,0.0477791,0.048241,3,1,1,1,64,7069,7069,7069,7069,7069,7069,7069,7069,7069,7069,7069,7069,0
61.0148,7011,1423,5588,0,0,0,0,0,0.0471104,0.0468353,0.0474495,0.0470366,2,0,2,0,64,7008,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,0
62.015,7039,1433,5606,0,0,0,0,0,0.0478651,0.0480533,0.0477371,0.0478046,2,0,2,0,64,7039,7039,7039,7039,7039,7039,7039,7039,7039,7039,7039,7039,0
