Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

15:50:06      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:51:17     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:18     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:19     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:20     1004   2351064    1.00    4.00    0.00    0.00    5.00     2  shardkv_gateway
15:51:21     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:22     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:23     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:24     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:25     1004   2351064    2.00   18.00    0.00    0.00   20.00     2  shardkv_gateway
15:51:26     1004   2351064   21.00  126.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:27     1004   2351064   19.00  124.00    0.00    0.00  143.00     2  shardkv_gateway
15:51:28     1004   2351064   20.00  128.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:29     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:30     1004   2351064   22.00  125.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:31     1004   2351064   24.00  125.00    0.00    0.00  149.00     2  shardkv_gateway
15:51:32     1004   2351064   22.00  125.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:33     1004   2351064   22.00  126.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:34     1004   2351064   23.00  126.00    0.00    0.00  149.00     2  shardkv_gateway
15:51:35     1004   2351064   21.00  127.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:36     1004   2351064   18.81  126.73    0.00    0.00  145.54     2  shardkv_gateway
15:51:37     1004   2351064   25.00  123.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:38     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:39     1004   2351064   21.00  126.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:40     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:41     1004   2351064   23.00  124.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:42     1004   2351064   23.00  125.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:43     1004   2351064   22.00  125.00    0.00    0.00  147.00     2  shardkv_gateway
15:51:44     1004   2351064   20.00  128.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:45     1004   2351064   22.00  126.00    0.00    0.00  148.00     2  shardkv_gateway
15:51:46     1004   2351064   22.00  128.00    0.00    0.00  150.00     2  shardkv_gateway
15:51:47     1004   2351064   17.00  121.00    0.00    0.00  138.00     2  shardkv_gateway
15:51:48     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:49     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:50     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:51     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:52     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:53     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:54     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:55     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:56     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:57     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:58     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:51:59     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:00     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:01     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:02     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:03     1004   2351064    0.00    1.00    0.00    0.00    1.00     2  shardkv_gateway
15:52:04     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:05     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:06     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:07     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:08     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:09     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:10     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:11     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
15:52:12     1004   2351064    0.00    0.00    0.00    0.00    0.00     2  shardkv_gateway
