procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 3897956      0 3510012    0    0     0     0 50828 44462  6 37 57  0  0  0
 2  0      0 3898308      0 3510012    0    0     0     0 50882 44363  6 37 58  0  0  0
 1  0      0 3898396      0 3510012    0    0     0     0 50868 44155  6 36 59  0  0  0
 0  0      0 3898772      0 3510012    0    0     0     0 50838 44325  6 38 57  0  0  0
 4  0      0 3898352      0 3510012    0    0     0     0 50813 44249  7 37 57  0  0  0
 0  0      0 3898496      0 3510012    0    0     0     0 51036 44347  6 37 57  0  0  0
 4  0      0 3898120      0 3510012    0    0     0     0 50828 44185  6 37 58  0  0  0
 2  0      0 3898672      0 3510012    0    0     0     0 50781 44334  6 36 58  0  0  0
 5  0      0 3898632      0 3510012    0    0     0     0 50346 43953  6 36 58  0  0  0
 1  0      0 3898480      0 3510012    0    0     0     0 50466 43975  7 35 58  0  0  0
 2  0      0 3898488      0 3510012    0    0     0     0 50705 44368  6 37 58  0  0  0
 2  0      0 3898592      0 3510012    0    0     0     0 50573 44060  6 36 58  0  0  0
 1  0      0 3897624      0 3510012    0    0     0     0 50544 44013  6 37 58  0  0  0
 1  0      0 3899008      0 3510016    0    0     0     0 31582 27144  4 22 74  0  0  0
 1  0      0 3899176      0 3510016    0    0     0     0  598  503  0  1 99  0  0  0
 0  0      0 3899176      0 3510016    0    0     0     0  475  366  0  0 100  0  0  0
 1  0      0 3899176      0 3510016    0    0     0     0  385  283  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3898924      0 3510016    0    0     0     0  695  592  0  1 99  0  0  0
 0  0      0 3898900      0 3510020    0    0     0     0 1154  701  8  1 91  0  0  0
 1  0      0 3899044      0 3510020    0    0     0     0  521  443  0  0 99  0  0  0
 0  0      0 3899044      0 3510020    0    0     0     0  651  506  0  1 99  0  0  0
 1  0      0 3899300      0 3510020    0    0     0     0  550  463  0  0 100  0  0  0
 1  0      0 3899300      0 3510020    0    0     0     0  744  704  0  1 99  0  0  0
 0  0      0 3899300      0 3510020    0    0     0     0  535  470  0  0 100  0  0  0
 1  0      0 3899300      0 3510020    0    0     0     0  573  433  0  1 100  0  0  0
 0  0      0 3899300      0 3510020    0    0     0     0  590  455  0  1 99  0  0  0
