Linux 6.8.0-1063-raspi (cube1-2) 	09/17/26 	_aarch64_	(4 CPU)

15:56:42      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:57:53     1004   2351439   21.00  125.00    0.00    0.00  146.00     1  shardkv_gateway
15:57:54     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:55     1004   2351439   24.00  125.00    0.00    0.00  149.00     1  shardkv_gateway
15:57:56     1004   2351439   22.00  125.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:57     1004   2351439   21.00  127.00    0.00    0.00  148.00     1  shardkv_gateway
15:57:58     1004   2351439   22.00  125.00    0.00    0.00  147.00     1  shardkv_gateway
15:57:59     1004   2351439   20.79  115.84    0.00    0.00  136.63     1  shardkv_gateway
15:58:00     1004   2351439   23.00  126.00    0.00    0.00  149.00     1  shardkv_gateway
15:58:01     1004   2351439   23.00  124.00    0.00    0.00  147.00     1  shardkv_gateway
15:58:02     1004   2351439   24.00  124.00    0.00    0.00  148.00     1  shardkv_gateway
15:58:03     1004   2351439   21.00  128.00    0.00    0.00  149.00     1  shardkv_gateway
15:58:04     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:58:05     1004   2351439   22.00  126.00    0.00    0.00  148.00     1  shardkv_gateway
15:58:06     1004   2351439   25.00  124.00    0.00    0.00  149.00     1  shardkv_gateway
15:58:07     1004   2351439   22.00  124.00    0.00    0.00  146.00     1  shardkv_gateway
15:58:08     1004   2351439   25.00  123.00    0.00    0.00  148.00     1  shardkv_gateway
15:58:09     1004   2351439   26.00  122.00    0.00    0.00  148.00     1  shardkv_gateway
15:58:10     1004   2351439   21.00  126.00    0.00    0.00  147.00     1  shardkv_gateway
15:58:11     1004   2351439   23.00  125.00    0.00    0.00  148.00     1  shardkv_gateway
15:58:12     1004   2351439   22.00  127.00    0.00    0.00  149.00     1  shardkv_gateway
15:58:13     1004   2351439    3.00   17.00    0.00    0.00   20.00     1  shardkv_gateway
15:58:14     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
15:58:15     1004   2351439    0.00    0.00    0.00    0.00    0.00     1  shardkv_gateway
