t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0077,1049,75,974,0,16,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,0
32.0079,2332,208,2124,0,16,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,0
33.0081,2327,188,2139,0,16,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
34.0083,2393,250,2143,0,16,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,0
35.0085,2372,227,2145,0,16,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,0
36.0087,2371,260,2111,0,16,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,0
37.0089,2298,251,2047,0,16,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,0
