t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
