t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0054,1164,91,1073,0,5,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,0
22.0056,2350,206,2144,0,5,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0
23.0058,2399,185,2214,0,5,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,0
24.0059,2383,260,2123,0,5,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,0
25.0061,2391,228,2163,0,5,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,0
26.0063,2428,259,2169,0,5,2428,2428,2428,2428,2428,2428,2428,2428,2428,2428,2428,2428,0
27.0065,2328,269,2059,0,5,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,0
28.0067,2358,286,2072,0,5,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,0
29.0069,2327,295,2032,0,5,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,2327,0
30.0071,2418,318,2100,0,5,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,0
31.0073,2372,292,2080,0,5,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,0
32.0075,2299,315,1984,0,5,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,0
33.0077,2430,346,2084,0,5,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,0
34.0079,2356,307,2049,0,5,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356,0
35.0081,2387,335,2052,0,5,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,0
36.0083,2388,353,2035,0,5,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,0
37.0085,2398,402,1996,0,5,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,2398,0
38.0087,2391,412,1979,0,5,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,0
39.0089,2305,387,1918,0,5,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,0
40.0091,2407,414,1993,0,5,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,0
41.0093,2394,436,1958,0,5,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394,0
42.0095,2422,452,1970,0,5,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,2422,0
43.0097,2346,461,1885,0,5,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,0
44.0098,2382,426,1956,0,5,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,0
45.01,2377,442,1935,0,5,2377,2377,2377,2377,2377,2377,2377,2377,2377,2377,2377,2377,0
46.0103,2303,453,1850,0,5,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,0
47.0105,2406,502,1904,0,5,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,0
48.0106,2443,495,1948,0,5,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,0
49.0108,2338,497,1841,0,5,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,0
50.011,2385,525,1860,0,5,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,2385,0
51.0112,2298,497,1801,0,5,2294,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298,0
52.0114,2383,563,1820,0,5,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,0
