t_s,req_s,ok,not_found,other,open_connections,lat_le_1ms,lat_le_2ms,lat_le_5ms,lat_le_10ms,lat_le_20ms,lat_le_50ms,lat_le_100ms,lat_le_200ms,lat_le_500ms,lat_le_1000ms,lat_le_2000ms,lat_le_5000ms,lat_gt_5000ms
1.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.003,1131,111,1020,0,5,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,0
13.0032,2253,195,2058,0,5,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,2253,0
14.0034,2174,189,1985,0,5,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,0
15.0036,2312,221,2091,0,5,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,2312,0
16.0038,2308,239,2069,0,5,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,0
17.004,2360,229,2131,0,5,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,0
18.0042,2396,262,2134,0,5,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,0
19.0044,2399,260,2139,0,5,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399,0
20.0047,2407,300,2107,0,5,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,0
